MarkNo,CaptureNo,ScaleNo,ScaleNoMax,Period,AgeTotal,AgeRiver,AgeLake,Length,SmoltingStatus,MaturationStatus,SpawnStatus,Year,Sex,Origin,HatchYear,AgeAtSmolting,LengthAtSmolting,AgeAtMaturation,LengthAtMaturation,SpawnCount,CaptureYear
H 1151,1,1,1,River,1,1,0,78,0,0,0,1956,female,wild,1955,5,333,7,629,3,1966
H 1151,1,1,1,River,2,2,0,138,0,0,0,1957,female,wild,1955,5,333,7,629,3,1966
H 1151,1,1,1,River,3,3,0,201,0,0,0,1958,female,wild,1955,5,333,7,629,3,1966
H 1151,1,1,1,River,4,4,0,258,0,0,0,1959,female,wild,1955,5,333,7,629,3,1966
H 1151,1,1,1,River,5,5,0,333,1,0,0,1960,female,wild,1955,5,333,7,629,3,1966
H 1151,1,1,1,Lake,6,5,1,526,1,0,0,1961,female,wild,1955,5,333,7,629,3,1966
H 1151,1,1,1,Lake,7,5,2,629,1,1,1,1962,female,wild,1955,5,333,7,629,3,1966
H 1151,1,1,1,Lake,8,5,3,658,1,1,0,1963,female,wild,1955,5,333,7,629,3,1966
H 1151,1,1,1,Lake,9,5,4,750,1,1,1,1964,female,wild,1955,5,333,7,629,3,1966
H 1151,1,1,1,Lake,10,5,5,775,1,1,0,1965,female,wild,1955,5,333,7,629,3,1966
H 1151,1,1,1,Lake,11,5,6,830,1,1,1,1966,female,wild,1955,5,333,7,629,3,1966
H 1152,1,1,1,Lake,NA,NA,1,415,1,0,0,1961,female,wild,NA,NA,255,NA,801,2,1966
H 1152,1,1,1,Lake,NA,NA,2,617,1,0,0,1962,female,wild,NA,NA,255,NA,801,2,1966
H 1152,1,1,1,Lake,NA,NA,3,724,1,0,0,1963,female,wild,NA,NA,255,NA,801,2,1966
H 1152,1,1,1,Lake,NA,NA,4,801,1,1,1,1964,female,wild,NA,NA,255,NA,801,2,1966
H 1152,1,1,1,Lake,NA,NA,5,830,1,1,0,1965,female,wild,NA,NA,255,NA,801,2,1966
H 1152,1,1,1,Lake,NA,NA,6,860,1,1,1,1966,female,wild,NA,NA,255,NA,801,2,1966
H 1153,1,1,1,River,1,1,0,62,0,0,0,1956,male,wild,1955,5,366,7,656,3,1966
H 1153,1,1,1,River,2,2,0,138,0,0,0,1957,male,wild,1955,5,366,7,656,3,1966
H 1153,1,1,1,River,3,3,0,220,0,0,0,1958,male,wild,1955,5,366,7,656,3,1966
H 1153,1,1,1,River,4,4,0,281,0,0,0,1959,male,wild,1955,5,366,7,656,3,1966
H 1153,1,1,1,River,5,5,0,366,1,0,0,1960,male,wild,1955,5,366,7,656,3,1966
H 1153,1,1,1,Lake,6,5,1,495,1,0,0,1961,male,wild,1955,5,366,7,656,3,1966
H 1153,1,1,1,Lake,7,5,2,656,1,1,1,1962,male,wild,1955,5,366,7,656,3,1966
H 1153,1,1,1,Lake,8,5,3,662,1,1,0,1963,male,wild,1955,5,366,7,656,3,1966
H 1153,1,1,1,Lake,9,5,4,736,1,1,1,1964,male,wild,1955,5,366,7,656,3,1966
H 1153,1,1,1,Lake,10,5,5,741,1,1,0,1965,male,wild,1955,5,366,7,656,3,1966
H 1153,1,1,1,Lake,11,5,6,800,1,1,1,1966,male,wild,1955,5,366,7,656,3,1966
H 1154,1,1,1,River,1,1,0,48,0,0,0,1957,male,wild,1956,4,294,8,875,2,1966
H 1154,1,1,1,River,2,2,0,130,0,0,0,1958,male,wild,1956,4,294,8,875,2,1966
H 1154,1,1,1,River,3,3,0,219,0,0,0,1959,male,wild,1956,4,294,8,875,2,1966
H 1154,1,1,1,River,4,4,0,294,1,0,0,1960,male,wild,1956,4,294,8,875,2,1966
H 1154,1,1,1,Lake,5,4,1,444,1,0,0,1961,male,wild,1956,4,294,8,875,2,1966
H 1154,1,1,1,Lake,6,4,2,602,1,0,0,1962,male,wild,1956,4,294,8,875,2,1966
H 1154,1,1,1,Lake,7,4,3,759,1,0,0,1963,male,wild,1956,4,294,8,875,2,1966
H 1154,1,1,1,Lake,8,4,4,875,1,1,1,1964,male,wild,1956,4,294,8,875,2,1966
H 1154,1,1,1,Lake,9,4,5,889,1,1,0,1965,male,wild,1956,4,294,8,875,2,1966
H 1154,1,1,1,Lake,10,4,6,930,1,1,1,1966,male,wild,1956,4,294,8,875,2,1966
H 1155,1,1,1,Lake,NA,NA,1,364,1,0,0,1960,female,wild,NA,NA,229,NA,711,3,1966
H 1155,1,1,1,Lake,NA,NA,2,500,1,0,0,1961,female,wild,NA,NA,229,NA,711,3,1966
H 1155,1,1,1,Lake,NA,NA,3,711,1,1,1,1962,female,wild,NA,NA,229,NA,711,3,1966
H 1155,1,1,1,Lake,NA,NA,4,717,1,1,0,1963,female,wild,NA,NA,229,NA,711,3,1966
H 1155,1,1,1,Lake,NA,NA,5,799,1,1,1,1964,female,wild,NA,NA,229,NA,711,3,1966
H 1155,1,1,1,Lake,NA,NA,6,811,1,1,0,1965,female,wild,NA,NA,229,NA,711,3,1966
H 1155,1,1,1,Lake,NA,NA,7,870,1,1,1,1966,female,wild,NA,NA,229,NA,711,3,1966
H 1156,1,1,1,River,1,1,0,69,0,0,0,1958,female,wild,1957,4,267,7,781,2,1966
H 1156,1,1,1,River,2,2,0,129,0,0,0,1959,female,wild,1957,4,267,7,781,2,1966
H 1156,1,1,1,River,3,3,0,198,0,0,0,1960,female,wild,1957,4,267,7,781,2,1966
H 1156,1,1,1,River,4,4,0,267,1,0,0,1961,female,wild,1957,4,267,7,781,2,1966
H 1156,1,1,1,Lake,5,4,1,492,1,0,0,1962,female,wild,1957,4,267,7,781,2,1966
H 1156,1,1,1,Lake,6,4,2,662,1,0,0,1963,female,wild,1957,4,267,7,781,2,1966
H 1156,1,1,1,Lake,7,4,3,781,1,1,1,1964,female,wild,1957,4,267,7,781,2,1966
H 1156,1,1,1,Lake,8,4,4,800,1,1,0,1965,female,wild,1957,4,267,7,781,2,1966
H 1156,1,1,1,Lake,9,4,5,850,1,1,1,1966,female,wild,1957,4,267,7,781,2,1966
H 1157,1,1,1,River,1,1,0,75,0,0,0,1960,male,wild,1959,2,185,7,720,1,1966
H 1157,1,1,1,River,2,2,0,185,1,0,0,1961,male,wild,1959,2,185,7,720,1,1966
H 1157,1,1,1,Lake,3,2,1,290,1,0,0,1962,male,wild,1959,2,185,7,720,1,1966
H 1157,1,1,1,Lake,4,2,2,375,1,0,0,1963,male,wild,1959,2,185,7,720,1,1966
H 1157,1,1,1,Lake,5,2,3,500,1,0,0,1964,male,wild,1959,2,185,7,720,1,1966
H 1157,1,1,1,Lake,6,2,4,635,1,0,0,1965,male,wild,1959,2,185,7,720,1,1966
H 1157,1,1,1,Lake,7,2,5,720,1,1,1,1966,male,wild,1959,2,185,7,720,1,1966
H 1158,1,1,1,River,1,1,0,72,0,0,0,1961,female,wild,1960,4,259,6,577,1,1966
H 1158,1,1,1,River,2,2,0,131,0,0,0,1962,female,wild,1960,4,259,6,577,1,1966
H 1158,1,1,1,River,3,3,0,187,0,0,0,1963,female,wild,1960,4,259,6,577,1,1966
H 1158,1,1,1,River,4,4,0,259,1,0,0,1964,female,wild,1960,4,259,6,577,1,1966
H 1158,1,1,1,Lake,5,4,1,429,1,0,0,1965,female,wild,1960,4,259,6,577,1,1966
H 1158,1,1,1,Lake,6,4,2,577,1,1,1,1966,female,wild,1960,4,259,6,577,1,1966
H 1159,1,1,1,River,1,1,0,56,0,0,0,1961,female,wild,1960,3,240,6,690,1,1966
H 1159,1,1,1,River,2,2,0,163,0,0,0,1962,female,wild,1960,3,240,6,690,1,1966
H 1159,1,1,1,River,3,3,0,240,1,0,0,1963,female,wild,1960,3,240,6,690,1,1966
H 1159,1,1,1,Lake,4,3,1,392,1,0,0,1964,female,wild,1960,3,240,6,690,1,1966
H 1159,1,1,1,Lake,5,3,2,543,1,0,0,1965,female,wild,1960,3,240,6,690,1,1966
H 1159,1,1,1,Lake,6,3,3,690,1,1,1,1966,female,wild,1960,3,240,6,690,1,1966
H 1160,1,1,1,River,1,1,0,75,0,0,0,1957,male,wild,1956,4,276,6,656,3,1966
H 1160,1,1,1,River,2,2,0,127,0,0,0,1958,male,wild,1956,4,276,6,656,3,1966
H 1160,1,1,1,River,3,3,0,194,0,0,0,1959,male,wild,1956,4,276,6,656,3,1966
H 1160,1,1,1,River,4,4,0,276,1,0,0,1960,male,wild,1956,4,276,6,656,3,1966
H 1160,1,1,1,Lake,5,4,1,462,1,0,0,1961,male,wild,1956,4,276,6,656,3,1966
H 1160,1,1,1,Lake,6,4,2,656,1,1,1,1962,male,wild,1956,4,276,6,656,3,1966
H 1160,1,1,1,Lake,7,4,3,701,1,1,0,1963,male,wild,1956,4,276,6,656,3,1966
H 1160,1,1,1,Lake,8,4,4,798,1,1,1,1964,male,wild,1956,4,276,6,656,3,1966
H 1160,1,1,1,Lake,9,4,5,813,1,1,0,1965,male,wild,1956,4,276,6,656,3,1966
H 1160,1,1,1,Lake,10,4,6,880,1,1,1,1966,male,wild,1956,4,276,6,656,3,1966
H 1162,1,1,1,River,1,1,0,46,0,0,0,1955,male,wild,1954,5,276,8,733,3,1966
H 1162,1,1,1,River,2,2,0,89,0,0,0,1956,male,wild,1954,5,276,8,733,3,1966
H 1162,1,1,1,River,3,3,0,138,0,0,0,1957,male,wild,1954,5,276,8,733,3,1966
H 1162,1,1,1,River,4,4,0,220,0,0,0,1958,male,wild,1954,5,276,8,733,3,1966
H 1162,1,1,1,River,5,5,0,276,1,0,0,1959,male,wild,1954,5,276,8,733,3,1966
H 1162,1,1,1,Lake,6,5,1,476,1,0,0,1960,male,wild,1954,5,276,8,733,3,1966
H 1162,1,1,1,Lake,7,5,2,604,1,0,0,1961,male,wild,1954,5,276,8,733,3,1966
H 1162,1,1,1,Lake,8,5,3,733,1,1,1,1962,male,wild,1954,5,276,8,733,3,1966
H 1162,1,1,1,Lake,9,5,4,742,1,1,0,1963,male,wild,1954,5,276,8,733,3,1966
H 1162,1,1,1,Lake,10,5,5,854,1,1,1,1964,male,wild,1954,5,276,8,733,3,1966
H 1162,1,1,1,Lake,11,5,6,867,1,1,0,1965,male,wild,1954,5,276,8,733,3,1966
H 1162,1,1,1,Lake,12,5,7,910,1,1,1,1966,male,wild,1954,5,276,8,733,3,1966
H 1163,1,1,1,Lake,NA,NA,1,425,1,0,0,1964,female,wild,NA,NA,222,NA,730,1,1966
H 1163,1,1,1,Lake,NA,NA,2,598,1,0,0,1965,female,wild,NA,NA,222,NA,730,1,1966
H 1163,1,1,1,Lake,NA,NA,3,730,1,1,1,1966,female,wild,NA,NA,222,NA,730,1,1966
H 1164,1,1,1,River,1,1,0,50,0,0,0,1958,female,wild,1957,4,301,7,766,2,1966
H 1164,1,1,1,River,2,2,0,113,0,0,0,1959,female,wild,1957,4,301,7,766,2,1966
H 1164,1,1,1,River,3,3,0,207,0,0,0,1960,female,wild,1957,4,301,7,766,2,1966
H 1164,1,1,1,River,4,4,0,301,1,0,0,1961,female,wild,1957,4,301,7,766,2,1966
H 1164,1,1,1,Lake,5,4,1,496,1,0,0,1962,female,wild,1957,4,301,7,766,2,1966
H 1164,1,1,1,Lake,6,4,2,628,1,0,0,1963,female,wild,1957,4,301,7,766,2,1966
H 1164,1,1,1,Lake,7,4,3,766,1,1,1,1964,female,wild,1957,4,301,7,766,2,1966
H 1164,1,1,1,Lake,8,4,4,791,1,1,0,1965,female,wild,1957,4,301,7,766,2,1966
H 1164,1,1,1,Lake,9,4,5,860,1,1,1,1966,female,wild,1957,4,301,7,766,2,1966
H 1166,1,1,1,River,1,1,0,52,0,0,0,1961,male,wild,1960,4,243,6,530,1,1966
H 1166,1,1,1,River,2,2,0,98,0,0,0,1962,male,wild,1960,4,243,6,530,1,1966
H 1166,1,1,1,River,3,3,0,157,0,0,0,1963,male,wild,1960,4,243,6,530,1,1966
H 1166,1,1,1,River,4,4,0,243,1,0,0,1964,male,wild,1960,4,243,6,530,1,1966
H 1166,1,1,1,Lake,5,4,1,398,1,0,0,1965,male,wild,1960,4,243,6,530,1,1966
H 1166,1,1,1,Lake,6,4,2,530,1,1,1,1966,male,wild,1960,4,243,6,530,1,1966
H 1167,1,1,1,River,1,1,0,50,0,0,0,1961,male,wild,1960,3,228,6,760,1,1966
H 1167,1,1,1,River,2,2,0,128,0,0,0,1962,male,wild,1960,3,228,6,760,1,1966
H 1167,1,1,1,River,3,3,0,228,1,0,0,1963,male,wild,1960,3,228,6,760,1,1966
H 1167,1,1,1,Lake,4,3,1,465,1,0,0,1964,male,wild,1960,3,228,6,760,1,1966
H 1167,1,1,1,Lake,5,3,2,640,1,0,0,1965,male,wild,1960,3,228,6,760,1,1966
H 1167,1,1,1,Lake,6,3,3,760,1,1,1,1966,male,wild,1960,3,228,6,760,1,1966
H 1169,1,1,1,River,1,1,0,56,0,0,0,1958,male,wild,1957,4,229,7,743,2,1966
H 1169,1,1,1,River,2,2,0,111,0,0,0,1959,male,wild,1957,4,229,7,743,2,1966
H 1169,1,1,1,River,3,3,0,167,0,0,0,1960,male,wild,1957,4,229,7,743,2,1966
H 1169,1,1,1,River,4,4,0,229,1,0,0,1961,male,wild,1957,4,229,7,743,2,1966
H 1169,1,1,1,Lake,5,4,1,361,1,0,0,1962,male,wild,1957,4,229,7,743,2,1966
H 1169,1,1,1,Lake,6,4,2,590,1,0,0,1963,male,wild,1957,4,229,7,743,2,1966
H 1169,1,1,1,Lake,7,4,3,743,1,1,1,1964,male,wild,1957,4,229,7,743,2,1966
H 1169,1,1,1,Lake,8,4,4,757,1,1,0,1965,male,wild,1957,4,229,7,743,2,1966
H 1169,1,1,1,Lake,9,4,5,840,1,1,1,1966,male,wild,1957,4,229,7,743,2,1966
H 1170,1,1,1,River,1,1,0,56,0,0,0,1958,male,wild,1957,4,265,7,689,2,1966
H 1170,1,1,1,River,2,2,0,109,0,0,0,1959,male,wild,1957,4,265,7,689,2,1966
H 1170,1,1,1,River,3,3,0,212,0,0,0,1960,male,wild,1957,4,265,7,689,2,1966
H 1170,1,1,1,River,4,4,0,265,1,0,0,1961,male,wild,1957,4,265,7,689,2,1966
H 1170,1,1,1,Lake,5,4,1,395,1,0,0,1962,male,wild,1957,4,265,7,689,2,1966
H 1170,1,1,1,Lake,6,4,2,545,1,0,0,1963,male,wild,1957,4,265,7,689,2,1966
H 1170,1,1,1,Lake,7,4,3,689,1,1,1,1964,male,wild,1957,4,265,7,689,2,1966
H 1170,1,1,1,Lake,8,4,4,695,1,1,0,1965,male,wild,1957,4,265,7,689,2,1966
H 1170,1,1,1,Lake,9,4,5,810,1,1,1,1966,male,wild,1957,4,265,7,689,2,1966
H 1172,1,1,1,River,1,1,0,53,0,0,0,1960,male,wild,1959,4,267,7,710,1,1966
H 1172,1,1,1,River,2,2,0,119,0,0,0,1961,male,wild,1959,4,267,7,710,1,1966
H 1172,1,1,1,River,3,3,0,209,0,0,0,1962,male,wild,1959,4,267,7,710,1,1966
H 1172,1,1,1,River,4,4,0,267,1,0,0,1963,male,wild,1959,4,267,7,710,1,1966
H 1172,1,1,1,Lake,5,4,1,443,1,0,0,1964,male,wild,1959,4,267,7,710,1,1966
H 1172,1,1,1,Lake,6,4,2,607,1,0,0,1965,male,wild,1959,4,267,7,710,1,1966
H 1172,1,1,1,Lake,7,4,3,710,1,1,1,1966,male,wild,1959,4,267,7,710,1,1966
H 1173,1,1,1,River,1,1,0,57,0,0,0,1958,male,wild,1957,5,347,7,703,2,1966
H 1173,1,1,1,River,2,2,0,135,0,0,0,1959,male,wild,1957,5,347,7,703,2,1966
H 1173,1,1,1,River,3,3,0,204,0,0,0,1960,male,wild,1957,5,347,7,703,2,1966
H 1173,1,1,1,River,4,4,0,269,0,0,0,1961,male,wild,1957,5,347,7,703,2,1966
H 1173,1,1,1,River,5,5,0,347,1,0,0,1962,male,wild,1957,5,347,7,703,2,1966
H 1173,1,1,1,Lake,6,5,1,536,1,0,0,1963,male,wild,1957,5,347,7,703,2,1966
H 1173,1,1,1,Lake,7,5,2,703,1,1,1,1964,male,wild,1957,5,347,7,703,2,1966
H 1173,1,1,1,Lake,8,5,3,709,1,1,0,1965,male,wild,1957,5,347,7,703,2,1966
H 1173,1,1,1,Lake,9,5,4,820,1,1,1,1966,male,wild,1957,5,347,7,703,2,1966
H 1174,1,1,1,River,1,1,0,66,0,0,0,1960,female,wild,1959,4,251,7,720,1,1966
H 1174,1,1,1,River,2,2,0,132,0,0,0,1961,female,wild,1959,4,251,7,720,1,1966
H 1174,1,1,1,River,3,3,0,199,0,0,0,1962,female,wild,1959,4,251,7,720,1,1966
H 1174,1,1,1,River,4,4,0,251,1,0,0,1963,female,wild,1959,4,251,7,720,1,1966
H 1174,1,1,1,Lake,5,4,1,452,1,0,0,1964,female,wild,1959,4,251,7,720,1,1966
H 1174,1,1,1,Lake,6,4,2,611,1,0,0,1965,female,wild,1959,4,251,7,720,1,1966
H 1174,1,1,1,Lake,7,4,3,720,1,1,1,1966,female,wild,1959,4,251,7,720,1,1966
H 1176,1,1,1,River,1,1,0,49,0,0,0,1961,female,wild,1960,4,235,6,510,1,1966
H 1176,1,1,1,River,2,2,0,92,0,0,0,1962,female,wild,1960,4,235,6,510,1,1966
H 1176,1,1,1,River,3,3,0,150,0,0,0,1963,female,wild,1960,4,235,6,510,1,1966
H 1176,1,1,1,River,4,4,0,235,1,0,0,1964,female,wild,1960,4,235,6,510,1,1966
H 1176,1,1,1,Lake,5,4,1,376,1,0,0,1965,female,wild,1960,4,235,6,510,1,1966
H 1176,1,1,1,Lake,6,4,2,510,1,1,1,1966,female,wild,1960,4,235,6,510,1,1966
H 1177,1,1,1,Lake,NA,NA,1,376,1,0,0,1960,female,wild,NA,NA,219,NA,683,3,1966
H 1177,1,1,1,Lake,NA,NA,2,558,1,0,0,1961,female,wild,NA,NA,219,NA,683,3,1966
H 1177,1,1,1,Lake,NA,NA,3,683,1,1,1,1962,female,wild,NA,NA,219,NA,683,3,1966
H 1177,1,1,1,Lake,NA,NA,4,715,1,1,0,1963,female,wild,NA,NA,219,NA,683,3,1966
H 1177,1,1,1,Lake,NA,NA,5,777,1,1,1,1964,female,wild,NA,NA,219,NA,683,3,1966
H 1177,1,1,1,Lake,NA,NA,6,802,1,1,0,1965,female,wild,NA,NA,219,NA,683,3,1966
H 1177,1,1,1,Lake,NA,NA,7,840,1,1,1,1966,female,wild,NA,NA,219,NA,683,3,1966
H 1178,1,1,1,River,1,1,0,65,0,0,0,1961,female,wild,1960,4,224,6,535,1,1966
H 1178,1,1,1,River,2,2,0,120,0,0,0,1962,female,wild,1960,4,224,6,535,1,1966
H 1178,1,1,1,River,3,3,0,181,0,0,0,1963,female,wild,1960,4,224,6,535,1,1966
H 1178,1,1,1,River,4,4,0,224,1,0,0,1964,female,wild,1960,4,224,6,535,1,1966
H 1178,1,1,1,Lake,5,4,1,397,1,0,0,1965,female,wild,1960,4,224,6,535,1,1966
H 1178,1,1,1,Lake,6,4,2,535,1,1,1,1966,female,wild,1960,4,224,6,535,1,1966
H 1180,1,1,1,River,1,1,0,77,0,0,0,1961,female,wild,1960,3,251,6,696,1,1966
H 1180,1,1,1,River,2,2,0,171,0,0,0,1962,female,wild,1960,3,251,6,696,1,1966
H 1180,1,1,1,River,3,3,0,251,1,0,0,1963,female,wild,1960,3,251,6,696,1,1966
H 1180,1,1,1,Lake,4,3,1,424,1,0,0,1964,female,wild,1960,3,251,6,696,1,1966
H 1180,1,1,1,Lake,5,3,2,576,1,0,0,1965,female,wild,1960,3,251,6,696,1,1966
H 1180,1,1,1,Lake,6,3,3,696,1,1,1,1966,female,wild,1960,3,251,6,696,1,1966
H 1181,1,1,1,River,1,1,0,63,0,0,0,1961,female,wild,1960,4,282,6,588,1,1966
H 1181,1,1,1,River,2,2,0,115,0,0,0,1962,female,wild,1960,4,282,6,588,1,1966
H 1181,1,1,1,River,3,3,0,175,0,0,0,1963,female,wild,1960,4,282,6,588,1,1966
H 1181,1,1,1,River,4,4,0,282,1,0,0,1964,female,wild,1960,4,282,6,588,1,1966
H 1181,1,1,1,Lake,5,4,1,446,1,0,0,1965,female,wild,1960,4,282,6,588,1,1966
H 1181,1,1,1,Lake,6,4,2,588,1,1,1,1966,female,wild,1960,4,282,6,588,1,1966
H 1182,1,1,1,River,1,1,0,70,0,0,0,1953,female,wild,1952,4,274,8,809,4,1966
H 1182,1,1,1,River,2,2,0,153,0,0,0,1954,female,wild,1952,4,274,8,809,4,1966
H 1182,1,1,1,River,3,3,0,210,0,0,0,1955,female,wild,1952,4,274,8,809,4,1966
H 1182,1,1,1,River,4,4,0,274,1,0,0,1956,female,wild,1952,4,274,8,809,4,1966
H 1182,1,1,1,Lake,5,4,1,446,1,0,0,1957,female,wild,1952,4,274,8,809,4,1966
H 1182,1,1,1,Lake,6,4,2,624,1,0,0,1958,female,wild,1952,4,274,8,809,4,1966
H 1182,1,1,1,Lake,7,4,3,745,1,0,0,1959,female,wild,1952,4,274,8,809,4,1966
H 1182,1,1,1,Lake,8,4,4,809,1,1,1,1960,female,wild,1952,4,274,8,809,4,1966
H 1182,1,1,1,Lake,9,4,5,828,1,1,0,1961,female,wild,1952,4,274,8,809,4,1966
H 1182,1,1,1,Lake,10,4,6,860,1,1,1,1962,female,wild,1952,4,274,8,809,4,1966
H 1182,1,1,1,Lake,11,4,7,873,1,1,0,1963,female,wild,1952,4,274,8,809,4,1966
H 1182,1,1,1,Lake,12,4,8,905,1,1,1,1964,female,wild,1952,4,274,8,809,4,1966
H 1182,1,1,1,Lake,13,4,9,911,1,1,0,1965,female,wild,1952,4,274,8,809,4,1966
H 1182,1,1,1,Lake,14,4,10,930,1,1,1,1966,female,wild,1952,4,274,8,809,4,1966
H 1183,1,1,1,River,1,1,0,58,0,0,0,1960,female,wild,1959,4,241,7,670,1,1966
H 1183,1,1,1,River,2,2,0,140,0,0,0,1961,female,wild,1959,4,241,7,670,1,1966
H 1183,1,1,1,River,3,3,0,196,0,0,0,1962,female,wild,1959,4,241,7,670,1,1966
H 1183,1,1,1,River,4,4,0,241,1,0,0,1963,female,wild,1959,4,241,7,670,1,1966
H 1183,1,1,1,Lake,5,4,1,416,1,0,0,1964,female,wild,1959,4,241,7,670,1,1966
H 1183,1,1,1,Lake,6,4,2,553,1,0,0,1965,female,wild,1959,4,241,7,670,1,1966
H 1183,1,1,1,Lake,7,4,3,670,1,1,1,1966,female,wild,1959,4,241,7,670,1,1966
H 1184,1,1,1,River,1,1,0,56,0,0,0,1961,female,wild,1960,4,269,6,557,1,1966
H 1184,1,1,1,River,2,2,0,137,0,0,0,1962,female,wild,1960,4,269,6,557,1,1966
H 1184,1,1,1,River,3,3,0,193,0,0,0,1963,female,wild,1960,4,269,6,557,1,1966
H 1184,1,1,1,River,4,4,0,269,1,0,0,1964,female,wild,1960,4,269,6,557,1,1966
H 1184,1,1,1,Lake,5,4,1,409,1,0,0,1965,female,wild,1960,4,269,6,557,1,1966
H 1184,1,1,1,Lake,6,4,2,557,1,1,1,1966,female,wild,1960,4,269,6,557,1,1966
H 1185,1,1,1,River,1,1,0,49,0,0,0,1960,female,wild,1959,3,211,5,484,2,1966
H 1185,1,1,1,River,2,2,0,116,0,0,0,1961,female,wild,1959,3,211,5,484,2,1966
H 1185,1,1,1,River,3,3,0,211,1,0,0,1962,female,wild,1959,3,211,5,484,2,1966
H 1185,1,1,1,Lake,4,3,1,379,1,0,0,1963,female,wild,1959,3,211,5,484,2,1966
H 1185,1,1,1,Lake,5,3,2,484,1,1,1,1964,female,wild,1959,3,211,5,484,2,1966
H 1185,1,1,1,Lake,6,3,3,520,1,1,0,1965,female,wild,1959,3,211,5,484,2,1966
H 1185,1,1,1,Lake,7,3,4,663,1,1,1,1966,female,wild,1959,3,211,5,484,2,1966
H 1186,1,1,1,River,1,1,0,56,0,0,0,1961,male,wild,1960,4,250,6,530,1,1966
H 1186,1,1,1,River,2,2,0,123,0,0,0,1962,male,wild,1960,4,250,6,530,1,1966
H 1186,1,1,1,River,3,3,0,197,0,0,0,1963,male,wild,1960,4,250,6,530,1,1966
H 1186,1,1,1,River,4,4,0,250,1,0,0,1964,male,wild,1960,4,250,6,530,1,1966
H 1186,1,1,1,Lake,5,4,1,413,1,0,0,1965,male,wild,1960,4,250,6,530,1,1966
H 1186,1,1,1,Lake,6,4,2,530,1,1,1,1966,male,wild,1960,4,250,6,530,1,1966
H 1187,1,1,1,River,1,1,0,75,0,0,0,1961,female,wild,1960,2,165,6,590,1,1966
H 1187,1,1,1,River,2,2,0,165,1,0,0,1962,female,wild,1960,2,165,6,590,1,1966
H 1187,1,1,1,Lake,3,2,1,275,1,0,0,1963,female,wild,1960,2,165,6,590,1,1966
H 1187,1,1,1,Lake,4,2,2,375,1,0,0,1964,female,wild,1960,2,165,6,590,1,1966
H 1187,1,1,1,Lake,5,2,3,500,1,0,0,1965,female,wild,1960,2,165,6,590,1,1966
H 1187,1,1,1,Lake,6,2,4,590,1,1,1,1966,female,wild,1960,2,165,6,590,1,1966
H 1188,1,1,1,River,1,1,0,70,0,0,0,1956,female,wild,1955,4,297,7,669,3,1966
H 1188,1,1,1,River,2,2,0,118,0,0,0,1957,female,wild,1955,4,297,7,669,3,1966
H 1188,1,1,1,River,3,3,0,210,0,0,0,1958,female,wild,1955,4,297,7,669,3,1966
H 1188,1,1,1,River,4,4,0,297,1,0,0,1959,female,wild,1955,4,297,7,669,3,1966
H 1188,1,1,1,Lake,5,4,1,442,1,0,0,1960,female,wild,1955,4,297,7,669,3,1966
H 1188,1,1,1,Lake,6,4,2,560,1,0,0,1961,female,wild,1955,4,297,7,669,3,1966
H 1188,1,1,1,Lake,7,4,3,669,1,1,1,1962,female,wild,1955,4,297,7,669,3,1966
H 1188,1,1,1,Lake,8,4,4,680,1,1,0,1963,female,wild,1955,4,297,7,669,3,1966
H 1188,1,1,1,Lake,9,4,5,711,1,1,1,1964,female,wild,1955,4,297,7,669,3,1966
H 1188,1,1,1,Lake,10,4,6,722,1,1,0,1965,female,wild,1955,4,297,7,669,3,1966
H 1188,1,1,1,Lake,11,4,7,750,1,1,1,1966,female,wild,1955,4,297,7,669,3,1966
H 1189,1,1,1,River,1,1,0,63,0,0,0,1960,female,wild,1959,4,290,7,770,1,1966
H 1189,1,1,1,River,2,2,0,118,0,0,0,1961,female,wild,1959,4,290,7,770,1,1966
H 1189,1,1,1,River,3,3,0,178,0,0,0,1962,female,wild,1959,4,290,7,770,1,1966
H 1189,1,1,1,River,4,4,0,290,1,0,0,1963,female,wild,1959,4,290,7,770,1,1966
H 1189,1,1,1,Lake,5,4,1,504,1,0,0,1964,female,wild,1959,4,290,7,770,1,1966
H 1189,1,1,1,Lake,6,4,2,658,1,0,0,1965,female,wild,1959,4,290,7,770,1,1966
H 1189,1,1,1,Lake,7,4,3,770,1,1,1,1966,female,wild,1959,4,290,7,770,1,1966
H 1190,1,1,1,River,1,1,0,45,0,0,0,1958,female,wild,1957,4,271,7,710,2,1966
H 1190,1,1,1,River,2,2,0,129,0,0,0,1959,female,wild,1957,4,271,7,710,2,1966
H 1190,1,1,1,River,3,3,0,213,0,0,0,1960,female,wild,1957,4,271,7,710,2,1966
H 1190,1,1,1,River,4,4,0,271,1,0,0,1961,female,wild,1957,4,271,7,710,2,1966
H 1190,1,1,1,Lake,5,4,1,432,1,0,0,1962,female,wild,1957,4,271,7,710,2,1966
H 1190,1,1,1,Lake,6,4,2,574,1,0,0,1963,female,wild,1957,4,271,7,710,2,1966
H 1190,1,1,1,Lake,7,4,3,710,1,1,1,1964,female,wild,1957,4,271,7,710,2,1966
H 1190,1,1,1,Lake,8,4,4,716,1,1,0,1965,female,wild,1957,4,271,7,710,2,1966
